Category: All categories

Month,Cara Delevingne: (Worldwide),Gigi Hadid: (Worldwide),Kendall Jenner: (Worldwide)
2004-01,0,1,3
2004-02,0,0,3
2004-03,0,<1,4
2004-04,0,2,2
2004-05,0,1,3
2004-06,<1,1,1
2004-07,<1,0,2
2004-08,<1,1,3
2004-09,0,<1,3
2004-10,<1,1,1
2004-11,0,1,3
2004-12,0,1,1
2005-01,<1,1,2
2005-02,0,<1,3
2005-03,1,1,3
2005-04,<1,<1,2
2005-05,0,<1,2
2005-06,<1,1,2
2005-07,0,1,2
2005-08,0,<1,1
2005-09,0,<1,2
2005-10,0,1,2
2005-11,0,<1,3
2005-12,<1,1,2
2006-01,<1,1,2
2006-02,<1,1,2
2006-03,<1,1,2
2006-04,0,1,3
2006-05,<1,1,2
2006-06,<1,1,2
2006-07,<1,1,3
2006-08,<1,1,2
2006-09,0,1,3
2006-10,0,1,2
2006-11,<1,1,1
2006-12,<1,2,1
2007-01,<1,1,2
2007-02,<1,1,3
2007-03,0,1,2
2007-04,<1,1,2
2007-05,<1,2,1
2007-06,<1,1,2
2007-07,<1,1,2
2007-08,<1,1,3
2007-09,<1,1,2
2007-10,<1,1,2
2007-11,0,1,2
2007-12,<1,1,2
2008-01,<1,1,2
2008-02,<1,1,2
2008-03,<1,1,2
2008-04,<1,1,2
2008-05,<1,1,2
2008-06,<1,1,2
2008-07,<1,1,2
2008-08,<1,1,2
2008-09,<1,1,2
2008-10,<1,1,2
2008-11,<1,1,2
2008-12,<1,<1,2
2009-01,<1,1,3
2009-02,<1,1,2
2009-03,<1,1,2
2009-04,<1,1,2
2009-05,<1,1,2
2009-06,<1,1,2
2009-07,<1,1,2
2009-08,<1,1,3
2009-09,<1,1,2
2009-10,<1,1,2
2009-11,<1,1,3
2009-12,<1,1,4
2010-01,<1,1,5
2010-02,<1,1,6
2010-03,<1,1,4
2010-04,<1,<1,4
2010-05,<1,1,5
2010-06,<1,<1,5
2010-07,<1,1,12
2010-08,<1,1,14
2010-09,<1,1,8
2010-10,<1,<1,8
2010-11,<1,1,8
2010-12,<1,1,8
2011-01,1,<1,9
2011-02,1,1,8
2011-03,<1,1,7
2011-04,<1,1,8
2011-05,<1,1,7
2011-06,1,1,12
2011-07,1,1,13
2011-08,1,1,22
2011-09,1,1,16
2011-10,1,1,12
2011-11,1,1,17
2011-12,1,1,23
2012-01,1,1,17
2012-02,1,1,15
2012-03,1,1,17
2012-04,1,1,17
2012-05,1,1,15
2012-06,1,<1,21
2012-07,1,1,26
2012-08,7,1,24
2012-09,6,1,21
2012-10,4,1,17
2012-11,10,1,22
2012-12,14,1,18
2013-01,15,1,21
2013-02,24,1,20
2013-03,21,1,18
2013-04,17,1,23
2013-05,29,1,23
2013-06,19,1,23
2013-07,19,1,29
2013-08,22,1,28
2013-09,27,1,23
2013-10,19,1,23
2013-11,19,2,56
2013-12,27,2,48
2014-01,35,3,46
2014-02,47,4,55
2014-03,35,6,33
2014-04,34,5,31
2014-05,30,5,46
2014-06,28,4,51
2014-07,35,4,42
2014-08,32,4,46
2014-09,37,5,48
2014-10,27,5,34
2014-11,28,6,47
2014-12,39,8,54
2015-01,29,12,49
2015-02,23,14,65
2015-03,33,15,51
2015-04,34,16,81
2015-05,55,25,80
2015-06,51,24,71
2015-07,86,20,74
2015-08,72,28,75
2015-09,56,32,64
2015-10,50,33,65
2015-11,42,58,91
2015-12,41,62,79
2016-01,42,52,100
2016-02,31,77,75
2016-03,29,52,69
2016-04,30,56,69
2016-05,26,53,62
2016-06,23,50,61
2016-07,37,37,58
2016-08,67,33,57
2016-09,30,46,51
2016-10,30,37,45
2016-11,27,47,62
2016-12,27,60,58
2017-01,20,35,46
2017-02,16,40,37
2017-03,20,30,32
2017-04,23,30,83
2017-05,23,27,54
2017-06,16,26,36
2017-07,29,30,35
2017-08,27,24,35
2017-09,15,26,38
2017-10,20,23,49
2017-11,21,34,38
2017-12,19,26,31
2018-01,15,25,39
2018-02,13,28,43
2018-03,17,39,38
2018-04,14,29,36
2018-05,14,33,49
2018-06,11,24,38
2018-07,10,20,34
2018-08,15,19,41
2018-09,12,18,52
2018-10,13,19,28
2018-11,10,18,35
2018-12,10,18,35
2019-01,9,15,36
2019-02,10,15,40
2019-03,10,14,28
2019-04,10,17,28
2019-05,11,15,31
2019-06,11,13,24
2019-07,11,14,29
2019-08,16,33,22
2019-09,18,18,27
2019-10,9,19,24
2019-11,11,13,27
2019-12,11,11,46
2020-01,9,21,25
2020-02,12,19,23
2020-03,8,12,23
2020-04,9,54,33
2020-05,12,48,34
2020-06,13,21,39
2020-07,9,34,31
2020-08,9,34,33
2020-09,9,46,29
2020-10,6,28,30
2020-11,7,24,31
2020-12,8,30,28
2021-01,8,32,29
2021-02,8,27,40
2021-03,6,23,32
2021-04,8,26,34
2021-05,7,26,34
2021-06,9,19,37
2021-07,7,26,37
2021-08,8,18,31
2021-09,8,30,41
2021-10,5,41,30
2021-11,7,29,33
2021-12,6,15,25
2022-01,7,19,34
2022-02,7,18,28
