Category: All categories

Month,Cara Delevingne: (United States),Gigi Hadid: (United States),Kendall Jenner: (United States)
2004-01,0,0,1
2004-02,0,<1,1
2004-03,0,0,2
2004-04,1,<1,1
2004-05,0,1,3
2004-06,<1,0,1
2004-07,0,<1,1
2004-08,0,<1,3
2004-09,0,0,3
2004-10,0,<1,2
2004-11,0,<1,2
2004-12,0,0,1
2005-01,0,1,2
2005-02,0,<1,3
2005-03,<1,1,2
2005-04,0,<1,1
2005-05,<1,0,2
2005-06,0,0,4
2005-07,<1,0,2
2005-08,0,<1,1
2005-09,0,0,1
2005-10,<1,1,2
2005-11,0,<1,3
2005-12,1,0,2
2006-01,<1,<1,3
2006-02,<1,1,2
2006-03,0,1,3
2006-04,<1,<1,2
2006-05,0,1,2
2006-06,0,1,2
2006-07,<1,1,2
2006-08,<1,1,2
2006-09,0,<1,3
2006-10,0,<1,2
2006-11,<1,1,2
2006-12,0,<1,1
2007-01,0,1,1
2007-02,<1,1,1
2007-03,0,1,2
2007-04,<1,<1,1
2007-05,<1,1,1
2007-06,<1,1,2
2007-07,<1,1,2
2007-08,0,1,2
2007-09,0,1,2
2007-10,<1,<1,2
2007-11,0,1,2
2007-12,<1,<1,2
2008-01,<1,<1,2
2008-02,<1,<1,2
2008-03,0,1,3
2008-04,<1,1,2
2008-05,0,1,3
2008-06,<1,<1,2
2008-07,0,<1,2
2008-08,<1,1,2
2008-09,<1,<1,1
2008-10,<1,<1,3
2008-11,<1,<1,2
2008-12,<1,<1,3
2009-01,<1,<1,3
2009-02,<1,<1,2
2009-03,<1,<1,2
2009-04,<1,1,2
2009-05,<1,1,2
2009-06,0,<1,3
2009-07,0,<1,2
2009-08,0,<1,3
2009-09,<1,1,4
2009-10,<1,<1,3
2009-11,0,1,4
2009-12,0,1,6
2010-01,<1,1,6
2010-02,0,<1,8
2010-03,<1,<1,4
2010-04,<1,<1,5
2010-05,<1,<1,3
2010-06,<1,<1,6
2010-07,0,<1,16
2010-08,<1,<1,18
2010-09,<1,1,10
2010-10,<1,<1,9
2010-11,<1,<1,9
2010-12,<1,<1,8
2011-01,<1,1,8
2011-02,<1,1,8
2011-03,<1,<1,5
2011-04,<1,<1,7
2011-05,<1,1,7
2011-06,<1,1,16
2011-07,<1,<1,15
2011-08,<1,1,25
2011-09,<1,<1,17
2011-10,<1,1,11
2011-11,<1,1,21
2011-12,<1,1,26
2012-01,<1,<1,17
2012-02,<1,1,15
2012-03,<1,<1,14
2012-04,1,<1,13
2012-05,<1,<1,14
2012-06,<1,1,23
2012-07,1,<1,30
2012-08,5,1,23
2012-09,2,<1,21
2012-10,2,<1,16
2012-11,5,2,19
2012-12,8,1,17
2013-01,7,1,17
2013-02,11,1,18
2013-03,8,2,17
2013-04,6,1,20
2013-05,10,2,20
2013-06,7,1,25
2013-07,7,1,31
2013-08,8,1,28
2013-09,13,1,21
2013-10,7,1,23
2013-11,8,3,66
2013-12,12,2,43
2014-01,17,3,41
2014-02,19,5,59
2014-03,13,7,30
2014-04,12,5,25
2014-05,12,4,44
2014-06,9,3,52
2014-07,17,3,37
2014-08,12,2,43
2014-09,14,4,41
2014-10,10,4,29
2014-11,11,7,43
2014-12,20,7,47
2015-01,11,10,41
2015-02,10,12,63
2015-03,14,13,50
2015-04,14,13,70
2015-05,16,17,64
2015-06,22,18,54
2015-07,48,14,59
2015-08,27,20,57
2015-09,18,23,50
2015-10,18,18,45
2015-11,19,38,69
2015-12,17,45,63
2016-01,18,30,72
2016-02,12,50,54
2016-03,11,29,48
2016-04,12,32,48
2016-05,11,31,43
2016-06,10,29,45
2016-07,22,20,42
2016-08,32,18,40
2016-09,12,25,36
2016-10,12,18,34
2016-11,12,34,50
2016-12,12,37,41
2017-01,8,18,31
2017-02,7,23,27
2017-03,8,16,24
2017-04,12,13,100
2017-05,12,14,44
2017-06,9,12,30
2017-07,18,16,27
2017-08,10,12,29
2017-09,6,12,33
2017-10,9,11,50
2017-11,10,20,33
2017-12,10,12,23
2018-01,6,14,34
2018-02,6,14,36
2018-03,11,17,30
2018-04,7,14,28
2018-05,6,19,43
2018-06,5,12,31
2018-07,5,12,32
2018-08,7,8,39
2018-09,5,9,49
2018-10,5,10,25
2018-11,4,9,31
2018-12,5,9,32
2019-01,4,9,37
2019-02,5,8,37
2019-03,5,7,24
2019-04,4,9,22
2019-05,6,8,27
2019-06,6,6,20
2019-07,6,8,25
2019-08,9,41,16
2019-09,12,15,25
2019-10,4,12,17
2019-11,6,8,19
2019-12,6,7,38
2020-01,4,13,18
2020-02,5,13,17
2020-03,4,8,16
2020-04,4,32,22
2020-05,6,28,23
2020-06,5,11,24
2020-07,5,19,19
2020-08,5,17,21
2020-09,4,25,19
2020-10,2,15,21
2020-11,4,14,21
2020-12,4,21,19
2021-01,3,18,18
2021-02,3,16,30
2021-03,3,12,25
2021-04,3,12,25
2021-05,4,12,25
2021-06,5,9,33
2021-07,4,15,29
2021-08,4,9,20
2021-09,4,15,26
2021-10,3,20,22
2021-11,6,15,25
2021-12,4,8,19
2022-01,4,10,24
2022-02,4,8,20
