Category: All categories

Month,Cara Delevingne: (France),Gigi Hadid: (France),Kendall Jenner: (France)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,0,0
2005-04,0,0,0
2005-05,0,3,0
2005-06,0,0,0
2005-07,0,3,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,0,0,0
2005-12,0,0,0
2006-01,0,2,0
2006-02,0,0,2
2006-03,0,0,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,2,2
2006-07,0,0,0
2006-08,0,0,2
2006-09,0,0,0
2006-10,0,1,0
2006-11,0,0,0
2006-12,0,1,0
2007-01,0,2,0
2007-02,0,0,0
2007-03,0,2,0
2007-04,0,1,1
2007-05,1,1,0
2007-06,0,3,0
2007-07,0,1,1
2007-08,0,1,0
2007-09,0,0,1
2007-10,0,0,0
2007-11,0,0,0
2007-12,0,1,0
2008-01,0,0,0
2008-02,0,0,0
2008-03,0,0,0
2008-04,1,0,0
2008-05,0,0,0
2008-06,0,0,0
2008-07,0,0,0
2008-08,0,0,0
2008-09,0,1,1
2008-10,0,0,0
2008-11,0,0,1
2008-12,0,1,1
2009-01,0,1,0
2009-02,0,0,0
2009-03,0,1,1
2009-04,0,1,1
2009-05,0,1,1
2009-06,0,1,1
2009-07,0,0,0
2009-08,1,0,0
2009-09,0,0,1
2009-10,0,1,1
2009-11,0,1,0
2009-12,0,0,0
2010-01,0,0,0
2010-02,0,0,1
2010-03,0,1,2
2010-04,0,0,1
2010-05,0,1,2
2010-06,0,1,1
2010-07,0,0,3
2010-08,0,0,2
2010-09,0,0,2
2010-10,0,0,1
2010-11,0,0,2
2010-12,0,0,3
2011-01,0,0,3
2011-02,0,0,2
2011-03,0,0,1
2011-04,0,0,3
2011-05,0,0,2
2011-06,0,0,2
2011-07,0,0,2
2011-08,1,0,7
2011-09,2,0,5
2011-10,<1,0,5
2011-11,0,0,10
2011-12,1,1,11
2012-01,2,<1,6
2012-02,1,0,6
2012-03,1,<1,5
2012-04,1,<1,9
2012-05,1,<1,9
2012-06,1,0,9
2012-07,2,1,9
2012-08,3,0,8
2012-09,6,1,7
2012-10,3,0,7
2012-11,9,0,10
2012-12,12,0,9
2013-01,7,<1,10
2013-02,16,<1,10
2013-03,23,<1,13
2013-04,17,<1,14
2013-05,41,0,13
2013-06,20,<1,15
2013-07,27,1,15
2013-08,27,<1,11
2013-09,22,1,9
2013-10,24,<1,12
2013-11,24,1,27
2013-12,27,1,26
2014-01,30,1,26
2014-02,43,1,30
2014-03,39,2,24
2014-04,35,2,23
2014-05,41,2,26
2014-06,33,3,29
2014-07,33,1,35
2014-08,36,2,46
2014-09,44,1,30
2014-10,37,2,28
2014-11,29,4,35
2014-12,32,3,44
2015-01,31,9,45
2015-02,29,12,47
2015-03,33,13,45
2015-04,41,14,64
2015-05,87,22,84
2015-06,46,18,57
2015-07,63,17,100
2015-08,93,30,100
2015-09,79,27,66
2015-10,67,40,81
2015-11,51,47,87
2015-12,47,40,83
2016-01,48,39,86
2016-02,31,54,81
2016-03,29,39,71
2016-04,33,48,76
2016-05,24,36,59
2016-06,23,40,60
2016-07,36,28,85
2016-08,58,37,84
2016-09,29,38,57
2016-10,36,31,56
2016-11,29,30,61
2016-12,29,37,50
2017-01,20,34,55
2017-02,15,32,46
2017-03,31,23,38
2017-04,25,29,46
2017-05,33,26,55
2017-06,17,22,33
2017-07,54,24,34
2017-08,73,23,36
2017-09,28,20,35
2017-10,24,23,32
2017-11,25,23,30
2017-12,25,20,26
2018-01,24,25,40
2018-02,13,21,36
2018-03,32,34,35
2018-04,22,29,33
2018-05,21,29,50
2018-06,14,18,30
2018-07,15,17,25
2018-08,21,18,50
2018-09,21,12,40
2018-10,17,14,28
2018-11,9,13,27
2018-12,21,13,24
2019-01,10,13,26
2019-02,16,12,31
2019-03,19,12,24
2019-04,15,20,23
2019-05,13,14,26
2019-06,18,10,20
2019-07,16,13,23
2019-08,22,14,24
2019-09,19,12,21
2019-10,11,23,21
2019-11,17,8,20
2019-12,15,9,28
2020-01,13,12,18
2020-02,14,13,16
2020-03,8,9,15
2020-04,10,33,22
2020-05,13,30,22
2020-06,13,13,24
2020-07,9,27,17
2020-08,9,26,25
2020-09,7,24,16
2020-10,6,14,15
2020-11,6,15,16
2020-12,7,16,19
2021-01,7,13,19
2021-02,9,16,21
2021-03,5,12,16
2021-04,23,16,20
2021-05,9,14,16
2021-06,11,12,18
2021-07,7,15,20
2021-08,11,12,20
2021-09,5,12,21
2021-10,7,21,16
2021-11,6,18,18
2021-12,6,11,19
2022-01,8,13,23
2022-02,2,14,12
